DATEE,NETWORTH
20220121,326529.162
20220122,323087.167
20220123,303591.315
20220124,316734.648
20220125,309341.255
20220126,315916.293
20220127,311269.753
20220128,322050.584
20220129,330801.159
20220130,315188.662
20220131,316721.775
20220201,299534.481
20220202,322064.07
20220203,330978.929
20220204,319287.793
20220205,322259.004
20220206,301190.194
20220207,316701.546
20220208,304412.735
20220209,301163.222
20220210,305669.385
20220211,319583.259
20220212,323698.328
20220213,325816.243
20220214,337032.917
20220215,325472.963
20220216,301747.411
20220217,324592.695
20220218,336950.775
20220219,341512.108
20220220,329228.201
20220221,341997.604
20220222,333568.241
20220223,334119.941
20220224,337798.554
20220225,340001.676
20220226,273475.851
20220227,301237.395
20220228,347956.577
20220301,319994.582
20220302,316606.531
20220303,325579.012
20220304,329996.903
20220305,337117.511
20220306,330960.539
20220307,335058.444
20220308,307489.995
20220309,311126.11
20220310,327048.986
20220311,309639.786
20220312,316263.864
20220313,313600.379
20220314,329004.456
20220315,310850.461
20220316,309260.952
20220317,298255.763
20220318,324499.519
20220319,330608.677
20220320,314539.495
20220321,307500.416
20220322,316672.122
20220323,342771.823
20220324,340477.977
20220325,354416.984
20220326,344536.65
20220327,347060.984
20220328,336714.157
20220329,308137.323
20220330,318251.21
20220331,304447.676
20220401,303117.466
20220402,316054.831
20220403,287371.335
20220404,319051.175
20220405,306647.12
20220406,303601.736
20220407,334848.798
20220408,350431.871
20220409,366314.088
20220410,355086.993
20220411,331496.914
20220412,346198.493
20220413,348338.476
20220414,296545.493
20220415,319837.041
20220416,306212.503
20220417,309737.253
20220418,319819.877
20220419,323133.142
20220420,342649.836
20220421,339316.955
20220422,353648.282
20220423,346764.905
20220424,331649.551
20220425,347909.989
20220426,341569.117
20220427,322331.951
20220428,319377.904
20220429,328126.027
20220430,319498.052
20220501,311367.22
20220502,320604.517
20220503,302784.607
20220504,310775.675
20220505,332857.774
20220506,327577.392
20220507,351809.282
20220508,360392.508
20220509,357616.231
20220510,304477.713
20220511,298664.021
20220512,322056.101
20220513,328788.68
20220514,320922.664
20220515,299326.061
20220516,300379.808
20220517,315449.187
20220518,346577.327
20220519,356994.036
20220520,377988.673
20220521,354559.2
20220522,336148.971
20220523,358412.518
20220524,357144.221
20220525,351459.872
20220526,333573.145
20220527,322606.575
20220528,321685.849
20220529,315664.35
20220530,329534.088
20220531,310656.753
20220601,310915.439
20220602,311593.417
20220603,344483.1087
20220604,347306.3763
20220605,343074.9878
20220606,347690.1542
20220607,360235.8035
20220608,350701.8718
20220609,344627.8337
20220610,346164.2505
20220611,354490.3433
20220612,361496.2178
20220613,366732.3858
20220614,326147.4645
20220615,341936.1491
20220616,347024.4597
20220617,377352.5878
20220618,370339.4834
20220619,373104.1137
20220620,385200.2734
20220621,362316.3405
20220622,346885.147
20220623,337583.1874
20220624,350470.556
20220625,371571.6397
20220626,344173.0862
20220627,338234.4231
20220628,336948.3808
20220629,351418.1668
20220630,341767.9165
20220701,324575.5596
20220702,319408.1464
20220703,342317.2934
20220704,354471.9405
20220705,352131.1723
20220706,350574.3842
20220707,375132.7351
20220708,352428.2046
20220709,325232.7092
20220710,327322.448
20220711,349132.5961
20220712,358156.5791
20220713,319328.2175
20220714,351475.3342
20220715,350512.613
20220716,335408.6789
20220717,338539.3404
20220718,359917.0858
20220719,361351.6406
20220720,340341.2456
20220721,342950.1308
20220722,347637.582
20220723,329134.211
20220724,329523.2448
20220725,336895.152
20220726,340082.9879
20220727,350618.4133
20220728,377836.2471
20220729,394623.1466
20220730,347192.6899
20220731,325914.1741
20220801,321517.1846
20220802,330654.199
20220803,330794.8276
20220804,348196.159
20220805,351110.6171
20220806,351282.1352
20220807,329757.1881
20220808,339811.5849
20220809,341125.2233
20220810,340648.7902
20220811,321333.8407
20220812,335406.7064
20220813,331986.8981
20220814,324336.3553
20220815,328007.1988
20220816,316551.7602
20220817,325232.055
20220818,328562.4923
20220819,322532.4812
20220820,317010.4508
20220821,318153.2316
20220822,319721.1941
20220823,312617.4046
20220824,311567.9354
20220825,320444.058
20220826,315725.7233
20220827,331473.6659
20220828,327284.9897
20220829,326430.6969
20220830,321418.6129
20220831,321019.0641
20220901,319788.8779
20220902,320294.8875
20220903,326742.8405
